employer_name,count,sum_of_total_workers,e_name,certified_number
"FARMERS SERVICES, LLC",5,5,"FARMERS SERVICES, LLC",5
MGM INTERNATIONAL MEDIA INC.,5,5,MGM INTERNATIONAL MEDIA INC.,5
"ASAPP, INC",5,5,"ASAPP, INC",5
SCS ENGINEERS,5,5,SCS ENGINEERS,5
"ARRAY ARCHITECTS, INC.",5,5,"ARRAY ARCHITECTS, INC.",5
"NIFTEK, INC.",14,18,"NIFTEK, INC.",5
"CARLEX GLASS AMERICA, LLC",6,7,"CARLEX GLASS AMERICA, LLC",5
NICKLAUS CHILDREN'S HOSPITAL,5,5,NICKLAUS CHILDREN'S HOSPITAL,5
"ALERTENTERPRISE, INC",5,5,"ALERTENTERPRISE, INC",5
"HYPERTENSION AND NEPHROLOGY, INC.",5,5,"HYPERTENSION AND NEPHROLOGY, INC.",5
"ASCEND ANALYTICS, LLC",7,7,"ASCEND ANALYTICS, LLC",5
"IQOR GLOBAL SERVICES, LLC",5,5,"IQOR GLOBAL SERVICES, LLC",5
CARLOHA INC.,5,5,CARLOHA INC.,5
"STANLEY CONSULTANTS, INC.",5,5,"STANLEY CONSULTANTS, INC.",5
FB2 SERVICES INC.,10,10,FB2 SERVICES INC.,5
VSOFT BUSINESS SOLUTIONS INC.,5,5,VSOFT BUSINESS SOLUTIONS INC.,5
FEDERAL HOME LOAN BANK OF CHICAGO,6,6,FEDERAL HOME LOAN BANK OF CHICAGO,5
INTERNATIONAL COUNCIL ON CLEAN TRANSPORTATION,5,5,INTERNATIONAL COUNCIL ON CLEAN TRANSPORTATION,5
"ALEX AND ANI, INC.",5,5,"ALEX AND ANI, INC.",5
"NEWLINK COMMUNICATIONS GROUP, LLC",5,5,"NEWLINK COMMUNICATIONS GROUP, LLC",5
GLOBAL TPA LLC,5,5,GLOBAL TPA LLC,5
SPRUCE INFOTECH INC.,5,5,SPRUCE INFOTECH INC.,5
GOODWIN PROCTER LLP,8,8,GOODWIN PROCTER LLP,5
"MERCY CLINIC OKLAHOMA COMMUNITIES, INC.",5,5,"MERCY CLINIC OKLAHOMA COMMUNITIES, INC.",5
GR VALIDATION AND COMPLIANCE SERVICES INC.,5,5,GR VALIDATION AND COMPLIANCE SERVICES INC.,5
WARBURG PINCUS LLC,5,5,WARBURG PINCUS LLC,5
GOTION INC,5,5,GOTION INC,5
WAVELETSOFT TECHNOLOGIES INC,6,6,WAVELETSOFT TECHNOLOGIES INC,5
GREENLIGHT BIOSCIENCES,5,5,GREENLIGHT BIOSCIENCES,5
"ICAP INTERNATIONAL, LLC",5,5,"ICAP INTERNATIONAL, LLC",5
GRIMSHAW ARCHITECTS P.C.,5,5,GRIMSHAW ARCHITECTS P.C.,5
"WEBXL SYSTEMS, INC.",6,6,"WEBXL SYSTEMS, INC.",5
1FOR.ONE CORPORATION,5,5,1FOR.ONE CORPORATION,5
NEVAKAR LLC,5,5,NEVAKAR LLC,5
EVERNOTE CORPORATION,14,14,EVERNOTE CORPORATION,5
"WELLS ENTERPRISES, INC.",5,5,"WELLS ENTERPRISES, INC.",5
"CANDELIS, INC.",5,5,"CANDELIS, INC.",5
IPSS CORP.,10,29,IPSS CORP.,5
"CARIS SCIENCE, INC.",5,5,"CARIS SCIENCE, INC.",5
WEST CONTRA COSTA UNIFIED SCHOOL DISTRICT,8,8,WEST CONTRA COSTA UNIFIED SCHOOL DISTRICT,5
GRID MARKET RESEARCH INC,5,5,GRID MARKET RESEARCH INC,5
"SRK CONSULTING (U.S.), INC.",6,6,"SRK CONSULTING (U.S.), INC.",5
"CAROLINAS PHYSICIANS NETWORK, INC.",8,8,"CAROLINAS PHYSICIANS NETWORK, INC.",5
HIGHMARK HEALTH,5,5,HIGHMARK HEALTH,5
"HAP INVESTMENTS, LLC",5,5,"HAP INVESTMENTS, LLC",5
MEMORIAL HOSPITAL,6,6,MEMORIAL HOSPITAL,5
FACTORYZOOM INC.,8,8,FACTORYZOOM INC.,5
WESTERN MICHIGAN UNIVERSITY SCHOOL OF MEDICINE,6,45,WESTERN MICHIGAN UNIVERSITY SCHOOL OF MEDICINE,5
H.B. FULLER COMPANY,5,5,H.B. FULLER COMPANY,5
"MELODY ACADEMY OF MUSIC, INC.",6,6,"MELODY ACADEMY OF MUSIC, INC.",5
HARMONY SCHOOL OF DISCOVERY,12,12,HARMONY SCHOOL OF DISCOVERY,5
"MELENDREZ ASSOCIATES, INC.",5,5,"MELENDREZ ASSOCIATES, INC.",5
HARVARD CLINICAL RESEARCH INSTITUTE,5,5,HARVARD CLINICAL RESEARCH INSTITUTE,5
INTERNATIONAL BANK OF CHICAGO,5,5,INTERNATIONAL BANK OF CHICAGO,5
"HD HOUSE, LLC",5,5,"HD HOUSE, LLC",5
"INTERNASH GLOBAL SERVICES, LLC",5,5,"INTERNASH GLOBAL SERVICES, LLC",5
"FERGUSON ENTERPRISES, INC.",6,6,"FERGUSON ENTERPRISES, INC.",5
MEGAPUTER INTELLIGENCE INC.,5,5,MEGAPUTER INTELLIGENCE INC.,5
ASCOM NETWORK TESTING INC.,6,6,ASCOM NETWORK TESTING INC.,5
SRS TEKSOFT INC,5,5,SRS TEKSOFT INC,5
FICOSA NORTH AMERICA CORPORATION,5,5,FICOSA NORTH AMERICA CORPORATION,5
"WHITRIDGE ASSOCIATES, INC.",5,5,"WHITRIDGE ASSOCIATES, INC.",5
"FIFTYTHREE, INC.",5,5,"FIFTYTHREE, INC.",5
SEARCH TECHNOLOGIES CORP.,5,5,SEARCH TECHNOLOGIES CORP.,5
AARP,5,5,AARP,5
"WICKED FASHIONS, INC.",5,5,"WICKED FASHIONS, INC.",5
FIRST DATA MERCHANT SERVICES LLC,5,5,FIRST DATA MERCHANT SERVICES LLC,5
PHOENIX CHILDREN'S HOSPITAL,5,5,PHOENIX CHILDREN'S HOSPITAL,5
FIRST GUARANTY MORTGAGE CORPORATION,5,5,FIRST GUARANTY MORTGAGE CORPORATION,5
MEDINNOVA USA INC,5,5,MEDINNOVA USA INC,5
FIRSTRADE SECURITIES INC,6,6,FIRSTRADE SECURITIES INC,5
MEDICO MARKETING INC.,5,5,MEDICO MARKETING INC.,5
CAVALRY PORTFOLIO SERVICES LLC,5,5,CAVALRY PORTFOLIO SERVICES LLC,5
WINSTON-SALEM/FORSYTH COUNTY SCHOOLS,5,7,WINSTON-SALEM/FORSYTH COUNTY SCHOOLS,5
FLEETCOR TECHNOLOGIES OPERATING COMPANY LLC,5,5,FLEETCOR TECHNOLOGIES OPERATING COMPANY LLC,5
STAMPS.COM INC.,7,7,STAMPS.COM INC.,5
"ALIENVAULT, INC.",5,5,"ALIENVAULT, INC.",5
"MEDIAOCEAN, LLC",5,5,"MEDIAOCEAN, LLC",5
"FLEXYTIE, INC.",7,7,"FLEXYTIE, INC.",5
"ST. JOSEPH'S MEDICAL GROUP, INC.",5,6,"ST. JOSEPH'S MEDICAL GROUP, INC.",5
FLOORING WHOLESALE RESOURCES CORP.,6,6,FLOORING WHOLESALE RESOURCES CORP.,5
"NESTBUILDERS, INC.",5,5,"NESTBUILDERS, INC.",5
CBS CORPORATE SERVICES INC.,6,6,CBS CORPORATE SERVICES INC.,5
"WOLTERS KLUWER FINANCIAL SERVICES, INC.",7,7,"WOLTERS KLUWER FINANCIAL SERVICES, INC.",5
ASPEN DENTAL ASSOCIATES OF HUDSON VALLEY PLLC,5,5,ASPEN DENTAL ASSOCIATES OF HUDSON VALLEY PLLC,5
"HOME PARADISES, LLC",5,5,"HOME PARADISES, LLC",5
FLORIDA STATE COLLEGE AT JACKSONVILLE,6,6,FLORIDA STATE COLLEGE AT JACKSONVILLE,5
"WORK4CE, INC.",6,6,"WORK4CE, INC.",5
"FLOW SCIENCE, INC.",5,5,"FLOW SCIENCE, INC.",5
KARGO GLOBAL INC.,5,5,KARGO GLOBAL INC.,5
CCUBE 9 INFOTECH INC.,6,6,CCUBE 9 INFOTECH INC.,5
"WORLD CLASS WORKFORCE, LLC",6,6,"WORLD CLASS WORKFORCE, LLC",5
CCUBE9 INFOTECH INC.,5,5,CCUBE9 INFOTECH INC.,5
"IPS GROUP, INC.",5,5,"IPS GROUP, INC.",5
FLSMIDTH INC.,7,7,FLSMIDTH INC.,5
WYDE CORPORATION,5,8,WYDE CORPORATION,5
"CD-ADAPCO NEW HAMPSHIRE CO., LTD.",5,5,"CD-ADAPCO NEW HAMPSHIRE CO., LTD.",5
"X.COMMERCE, INC.",9,9,"X.COMMERCE, INC.",5
AB GREEN CORP,5,5,AB GREEN CORP,5
XAMBALA MANAGEMENT LLC,5,5,XAMBALA MANAGEMENT LLC,5
FLYING FOOD GROUP LLC,6,6,FLYING FOOD GROUP LLC,5
"RWIN TECHNOLOGIES, LLC",5,5,"RWIN TECHNOLOGIES, LLC",5
"FNR SOLUTIONS, INC",5,5,"FNR SOLUTIONS, INC",5
"MCLAREN MEDICAL MANAGEMENT, INC.",5,5,"MCLAREN MEDICAL MANAGEMENT, INC.",5
FNS INC,5,5,FNS INC,5
"XINGCHENG SPECIAL STEEL AMERICA, INC.",5,5,"XINGCHENG SPECIAL STEEL AMERICA, INC.",5
FOBESS INC,5,16,FOBESS INC,5
"INTERDIGITAL COMMUNICATIONS, INC",5,5,"INTERDIGITAL COMMUNICATIONS, INC",5
FOCUS INC.,5,5,FOCUS INC.,5
"NOVICK, KIM & LEE, PLLC",5,5,"NOVICK, KIM & LEE, PLLC",5
"ADAPTIVE PLANNING, INC.",5,5,"ADAPTIVE PLANNING, INC.",5
"XPECTIT MOBILE, INC",5,5,"XPECTIT MOBILE, INC",5
FOGARTY FINGER ARCHITECTURE PLLC,5,5,FOGARTY FINGER ARCHITECTURE PLLC,5
XSUNT CORPORATION,5,5,XSUNT CORPORATION,5
ASSENT SOLUTIONS LLC,5,5,ASSENT SOLUTIONS LLC,5
"NOVELTY INFOTECH,INC.",5,5,"NOVELTY INFOTECH,INC.",5
CELERITIFINTECH,5,90,CELERITIFINTECH,5
"THE RAINE GROUP, LLC",5,5,"THE RAINE GROUP, LLC",5
"CELERITY IT, LLC",10,10,"CELERITY IT, LLC",5
"STANFORD NEW YORK, LLC",5,5,"STANFORD NEW YORK, LLC",5
"CELL SIGNALING TECHNOLOGY, INC.",6,6,"CELL SIGNALING TECHNOLOGY, INC.",5
YOUNG & RUBICAM INC.,10,10,YOUNG & RUBICAM INC.,5
"FORMOSA PLASTICS CORPORATION, U.S.A.",5,5,"FORMOSA PLASTICS CORPORATION, U.S.A.",5
YUMA REGIONAL MEDICAL CENTER,5,5,YUMA REGIONAL MEDICAL CENTER,5
FORTUNE MINDS INC.,5,5,FORTUNE MINDS INC.,5
NOVARTIS SERVICES INC,5,5,NOVARTIS SERVICES INC,5
"ADARA, INC.",5,5,"ADARA, INC.",5
"MASOUD KHORSAND-SAHBAIE, M.D., P.A.",7,7,"MASOUD KHORSAND-SAHBAIE, M.D., P.A.",5
"ADASIA COMMUNICATIONS, INC.",5,5,"ADASIA COMMUNICATIONS, INC.",5
"ZEF SCIENTIFIC, INC.",5,5,"ZEF SCIENTIFIC, INC.",5
"FOX CABLE NETWORK SERVICES, LLC",5,5,"FOX CABLE NETWORK SERVICES, LLC",5
ZENITH SERVICES INC.,5,5,ZENITH SERVICES INC.,5
"GRIFFIN FACULTY PRACTICE PLAN, INC.",5,5,"GRIFFIN FACULTY PRACTICE PLAN, INC.",5
MARVEL ARCHITECTS PLLC,5,5,MARVEL ARCHITECTS PLLC,5
ALL STARS MANDARIN CENTER,7,7,ALL STARS MANDARIN CENTER,5
ZEROSNONES INC.,5,5,ZEROSNONES INC.,5
CENTRAL CALIFORNIA FACULTY MEDICAL GROUP,5,5,CENTRAL CALIFORNIA FACULTY MEDICAL GROUP,5
"ZETTASET, INC.",5,5,"ZETTASET, INC.",5
FRENCH AMERICAN INTERNATIONAL SCHOOL,5,5,FRENCH AMERICAN INTERNATIONAL SCHOOL,5
"ZHANG AND ASSOCIATES, PC",5,5,"ZHANG AND ASSOCIATES, PC",5
FRENCH INSTITUTE ALLIANCE FRANCAISE,5,5,FRENCH INSTITUTE ALLIANCE FRANCAISE,5
"NANSHAN AMERICA ADVANCED ALUMINUM TECHNOLOGIES, LLC",5,5,"NANSHAN AMERICA ADVANCED ALUMINUM TECHNOLOGIES, LLC",5
FRENCH-AMERICAN INTERNATIONAL SCHOOL,7,7,FRENCH-AMERICAN INTERNATIONAL SCHOOL,5
NANOCYTOMICS,5,5,NANOCYTOMICS,5
"FRESENIUS USA, INC., A FRESENIUS MEDICAL CARE NA COMPANY",5,5,"FRESENIUS USA, INC., A FRESENIUS MEDICAL CARE NA COMPANY",5
ZODIAC SEATS CALIFORNIA LLC,5,5,ZODIAC SEATS CALIFORNIA LLC,5
FRESHFIELDS BRUCKHAUS DERINGER US LLP,5,5,FRESHFIELDS BRUCKHAUS DERINGER US LLP,5
INTERACTIVE DATA PRICING AND REFERENCE DATA LLC,5,5,INTERACTIVE DATA PRICING AND REFERENCE DATA LLC,5
CENTROID PARTNERS LLC,5,5,CENTROID PARTNERS LLC,5
"ZORO TOOLS, INC.",5,5,"ZORO TOOLS, INC.",5
ALLEGION PLC,5,5,ALLEGION PLC,5
NAMEI GROUP INC.,6,6,NAMEI GROUP INC.,5
"CENTURY REHABILITATION OF TEXAS, LLC",6,6,"CENTURY REHABILITATION OF TEXAS, LLC",5
MARQUETTE PARTNERS LP,5,5,MARQUETTE PARTNERS LP,5
ALLEGRO DEVELOPMENT CORPORATION,6,6,ALLEGRO DEVELOPMENT CORPORATION,5
MARKS STUDIOS LLC,5,5,MARKS STUDIOS LLC,5
FROST & SULLIVAN,5,5,FROST & SULLIVAN,5
"MYFITNESSPAL, INC.",6,6,"MYFITNESSPAL, INC.",5
"AT4 WIRELESS, INC.",5,6,"AT4 WIRELESS, INC.",5
VIEW THE SPACE INC.,5,5,VIEW THE SPACE INC.,5
ALLEN & OVERY LLP,7,7,ALLEN & OVERY LLP,5
INTERACTIVE DATA PRICING & REFERENCE DATA LLC,5,5,INTERACTIVE DATA PRICING & REFERENCE DATA LLC,5
"HEALTHMATE INTERNATIONAL, LLC",5,5,"HEALTHMATE INTERNATIONAL, LLC",5
"KANTAR RETAIL, LLC",6,6,"KANTAR RETAIL, LLC",5
"FUJIFILM MEDICAL SYSTEMS U.S.A., INC.",6,6,"FUJIFILM MEDICAL SYSTEMS U.S.A., INC.",5
"MARITZ CONSULTING GROUP, INC.",5,5,"MARITZ CONSULTING GROUP, INC.",5
"CERIUM SYSTEMS, INC.",5,24,"CERIUM SYSTEMS, INC.",5
"STR GROUP USA, INC.",5,10,"STR GROUP USA, INC.",5
"ATCO PRODUCTS, INC.",5,5,"ATCO PRODUCTS, INC.",5
UOP LLC,13,13,UOP LLC,5
ABACUS WEALTH PARTNERS LLC,5,5,ABACUS WEALTH PARTNERS LLC,5
"MOZIDO, INC.",6,6,"MOZIDO, INC.",5
"FUNCTIONAL LIFE ACHIEVEMENT, INC.",7,7,"FUNCTIONAL LIFE ACHIEVEMENT, INC.",5
WARREN COUNTY SCHOOLS,5,5,WARREN COUNTY SCHOOLS,5
ATELIER TEN USA LLC,7,7,ATELIER TEN USA LLC,5
"MARGIN10 CONSULTING SERVICES, LLC",7,7,"MARGIN10 CONSULTING SERVICES, LLC",5
FUND FOR THE CITY OF NEW YORK,5,5,FUND FOR THE CITY OF NEW YORK,5
"NORTHGATEARINSO, INC.",9,9,"NORTHGATEARINSO, INC.",5
FUSION SOLUTIONS LLC,5,5,FUSION SOLUTIONS LLC,5
MOTIF INVESTING INC.,5,10,MOTIF INVESTING INC.,5
CF INDUSTRIES EMPLOYEE SERVICES LLC,5,5,CF INDUSTRIES EMPLOYEE SERVICES LLC,5
STRATEGIC SYSTEMS INC.,5,5,STRATEGIC SYSTEMS INC.,5
"FUYAO AUTOMOTIVE NORTH AMERICA, INC.",5,5,"FUYAO AUTOMOTIVE NORTH AMERICA, INC.",5
"SUPPLY CHAIN CONSULTANTS, INC.",7,7,"SUPPLY CHAIN CONSULTANTS, INC.",5
"FUZE, INC.",6,6,"FUZE, INC.",5
"MALWAREBYTES, INC.",6,6,"MALWAREBYTES, INC.",5
"CG POWER SYSTEMS USA, INC., A DIVISION OF CG POWER USA, INC.",5,5,"CG POWER SYSTEMS USA, INC., A DIVISION OF CG POWER USA, INC.",5
STATE UNIVERSITY OF NEW YORK AT GENESEO,6,6,STATE UNIVERSITY OF NEW YORK AT GENESEO,5
"ADECCO GROUP NA/ENTEGEE, INC.",5,5,"ADECCO GROUP NA/ENTEGEE, INC.",5
MAINE MEDICAL CENTER,5,5,MAINE MEDICAL CENTER,5
"G&E STUDIO, INC.",5,5,"G&E STUDIO, INC.",5
MOJO SOLUTIONS AND SERVICES MSS LLC,5,14,MOJO SOLUTIONS AND SERVICES MSS LLC,5
"GROCERY DELIVERY E-SERVICES USA, INC.",5,5,"GROCERY DELIVERY E-SERVICES USA, INC.",5
"MAHLE INDUSTRIES, INC.",5,5,"MAHLE INDUSTRIES, INC.",5
G-TECH SERVICES INC.,5,5,G-TECH SERVICES INC.,5
"MODCLOTH, INC.",6,6,"MODCLOTH, INC.",5
"FNR SOLUTIONS, INC.",5,5,"FNR SOLUTIONS, INC.",5
TECHCORP SYSTEMS,5,5,TECHCORP SYSTEMS,5
"33 UNIVERSAL, INC.",6,6,"33 UNIVERSAL, INC.",5
"YANG INTERNATIONAL STAFFING COMPANY, INC.",6,6,"YANG INTERNATIONAL STAFFING COMPANY, INC.",5
"GA DENTISTRY SERVICES, PC",5,5,"GA DENTISTRY SERVICES, PC",5
MAGNETIC MEDIA ONLINE INC.,5,5,MAGNETIC MEDIA ONLINE INC.,5
72ANDSUNNY PARTNERS LLC,5,5,72ANDSUNNY PARTNERS LLC,5
"MAGNETI MARELLI OF TENNESSEE, LLC",5,5,"MAGNETI MARELLI OF TENNESSEE, LLC",5
CHAINALYTICS LLC,5,5,CHAINALYTICS LLC,5
PACTRON,5,5,PACTRON,5
ADEF COMPANY,5,5,ADEF COMPANY,5
ST. AMBROSE UNIVERSITY,5,5,ST. AMBROSE UNIVERSITY,5
GUSTAVUS ADOLPHUS COLLEGE,5,5,GUSTAVUS ADOLPHUS COLLEGE,5
TENNESSE STATE UNIVERSITY,5,6,TENNESSE STATE UNIVERSITY,5
CHAPEL HILL INDEPENDENT SCHOOL DISTRICT,8,8,CHAPEL HILL INDEPENDENT SCHOOL DISTRICT,5
"MAGIKMINDS, INC.",6,6,"MAGIKMINDS, INC.",5
"GARDNER DENVER, INC.",5,5,"GARDNER DENVER, INC.",5
"NILFISK, INC.",5,5,"NILFISK, INC.",5
ATLANTIC INVESTMENT INTERNATIONAL GROUP,6,6,ATLANTIC INVESTMENT INTERNATIONAL GROUP,5
NORTHEAST OHIO MEDICAL UNIVERSITY,9,9,NORTHEAST OHIO MEDICAL UNIVERSITY,5
"CHARAN ELECTRICAL ENTERPRISES, INC.",5,5,"CHARAN ELECTRICAL ENTERPRISES, INC.",5
TEZZARON SEMICONDUCTOR CORPORATION,5,5,TEZZARON SEMICONDUCTOR CORPORATION,5
"ALLIED CONSULTANTS, INC.",5,5,"ALLIED CONSULTANTS, INC.",5
SOUTHERN RESEARCH INSTITUTE (SRI),5,5,SOUTHERN RESEARCH INSTITUTE (SRI),5
GM INFOTECH LLC,5,5,GM INFOTECH LLC,5
THE BRATTLE GROUP,6,16,THE BRATTLE GROUP,5
"ADEPT SCRIPTS, INC.",5,5,"ADEPT SCRIPTS, INC.",5
MLGW,6,6,MLGW,5
GEARBOX SOFTWARE LLC,5,5,GEARBOX SOFTWARE LLC,5
"MACK TRUCKS, INC.",5,5,"MACK TRUCKS, INC.",5
"CHARVI INFORMATION TECHNOLOGIES, INC",5,5,"CHARVI INFORMATION TECHNOLOGIES, INC",5
"HWASEUNG AUTOMOTIVE AMERICA HOLDINGS, INC.",6,6,"HWASEUNG AUTOMOTIVE AMERICA HOLDINGS, INC.",5
"GELBER GROUP, LLC",5,5,"GELBER GROUP, LLC",5
"SONSOFT, INC.",6,6,"SONSOFT, INC.",5
"ALLIED REHAB SERVICES, INC.",5,5,"ALLIED REHAB SERVICES, INC.",5
OMADA HEALTH INC.,5,5,OMADA HEALTH INC.,5
GEMOLOGICAL INSTITUTE OF AMERICA (GIA),6,6,GEMOLOGICAL INSTITUTE OF AMERICA (GIA),5
M3 ENGINEERING & TECHNOLOGY CORPORATION,5,5,M3 ENGINEERING & TECHNOLOGY CORPORATION,5
"ATMECS, INC.",8,16,"ATMECS, INC.",5
SOFTWAY SOLUTIONS INC.,6,6,SOFTWAY SOLUTIONS INC.,5
"CHECKPOINT SYSTEMS, INC.",5,5,"CHECKPOINT SYSTEMS, INC.",5
"PYONGSAN AMERICA, INC.",5,5,"PYONGSAN AMERICA, INC.",5
"CHECKR, INC.",5,5,"CHECKR, INC.",5
"SOAPROJECTS, INC.",9,9,"SOAPROJECTS, INC.",5
"GENERAL DATATECH, LP",5,5,"GENERAL DATATECH, LP",5
"LUMMUS TECHNOLOGY, INC.",7,7,"LUMMUS TECHNOLOGY, INC.",5
"CHEF SOFTWARE, INC.",7,7,"CHEF SOFTWARE, INC.",5
"METROMILE, INC.",6,6,"METROMILE, INC.",5
ALLISON & PARTNERS LLC,5,5,ALLISON & PARTNERS LLC,5
"LUMINATE WIRELESS, INC.",8,24,"LUMINATE WIRELESS, INC.",5
GENERAL PHOTONICS CORP.,5,5,GENERAL PHOTONICS CORP.,5
INTELLIGENT BUSINESS PLATFORMS LLC,5,5,INTELLIGENT BUSINESS PLATFORMS LLC,5
"ATNS USA, INC.",5,5,"ATNS USA, INC.",5
LUDWIG INSTITUTE FOR CANCER RESEARCH,5,5,LUDWIG INSTITUTE FOR CANCER RESEARCH,5
"CHEMEOR, INC.",5,5,"CHEMEOR, INC.",5
ROYAL TECHNOCRATS INC,5,5,ROYAL TECHNOCRATS INC,5
ADEPTPROS LLC,5,5,ADEPTPROS LLC,5
THUNDERMIST HEALTH CENTER,6,6,THUNDERMIST HEALTH CENTER,5
FEDERAL-MOGUL MOTORPARTS CORPORATION,6,6,FEDERAL-MOGUL MOTORPARTS CORPORATION,5
"HUTCHIN HILL CAPITAL, LP",6,6,"HUTCHIN HILL CAPITAL, LP",5
"CHEMONICS INTERNATIONAL, INC.",5,5,"CHEMONICS INTERNATIONAL, INC.",5
SITIME CORPORATION,6,6,SITIME CORPORATION,5
"GENEX SYSTEMS, LLC",5,5,"GENEX SYSTEMS, LLC",5
"SALT SOLUTIONS, INC.",5,5,"SALT SOLUTIONS, INC.",5
"GEO SEMICONDUCTOR, INC.",5,5,"GEO SEMICONDUCTOR, INC.",5
"STRATA MARKETING, INC.",6,6,"STRATA MARKETING, INC.",5
GEORGIA COLLEGE AND STATE UNIVERSITY,7,7,GEORGIA COLLEGE AND STATE UNIVERSITY,5
SIGMA CUBED INC.,12,12,SIGMA CUBED INC.,5
GEORGIA GWINNETT COLLEGE,5,5,GEORGIA GWINNETT COLLEGE,5
LOYOLA MARYMOUNT UNIVERSITY,5,5,LOYOLA MARYMOUNT UNIVERSITY,5
"GERSON LEHRMAN GROUP, INC.",8,8,"GERSON LEHRMAN GROUP, INC.",5
"LOYAL3 SECURITIES, INC.",5,5,"LOYAL3 SECURITIES, INC.",5
ALLY FINANCIAL INC,5,5,ALLY FINANCIAL INC,5
MENTORGRAPH INC,5,5,MENTORGRAPH INC,5
GF55 ARCHITECTS LLP,7,7,GF55 ARCHITECTS LLP,5
"HERNANDEZ & COMPANY, P.A.",5,5,"HERNANDEZ & COMPANY, P.A.",5
"CHILD MIND INSTITUTE, INC.",6,6,"CHILD MIND INSTITUTE, INC.",5
INTELIBLUE LLC,5,5,INTELIBLUE LLC,5
GHAFARI ASSOCIATES LLC,10,10,GHAFARI ASSOCIATES LLC,5
SHEETA GLOBAL TECHNOLOGY CORP.,5,5,SHEETA GLOBAL TECHNOLOGY CORP.,5
CHILDREN'S HOSPITAL MEDICAL CENTER OF AKRON,5,5,CHILDREN'S HOSPITAL MEDICAL CENTER OF AKRON,5
JOHNSON MATTHEY PHARMACEUTICAL SERVICES,6,6,JOHNSON MATTHEY PHARMACEUTICAL SERVICES,5
CHILDREN'S HUT LLC,10,26,CHILDREN'S HUT LLC,5
"MEIXIN GROUP, INC.",5,5,"MEIXIN GROUP, INC.",5
"GIANT EAGLE, INC.",5,5,"GIANT EAGLE, INC.",5
K9 SYS INC.,5,5,K9 SYS INC.,5
CHILDREN'S MERCY HOSPITALS AND CLINICS,6,6,CHILDREN'S MERCY HOSPITALS AND CLINICS,5
UNITED BUS TECHNOLOGY INC.,5,5,UNITED BUS TECHNOLOGY INC.,5
HEARST COMMUNICATIONS INC.,5,5,HEARST COMMUNICATIONS INC.,5
NORTH AMERICA RAPID RESULTS TECHNOLOGIES,5,5,NORTH AMERICA RAPID RESULTS TECHNOLOGIES,5
GIDDY INC,6,6,GIDDY INC,5
"SEP-PRO SYSTEMS, INC.",5,5,"SEP-PRO SYSTEMS, INC.",5
GIGACOM SEMICONDUCTOR LLC,5,11,GIGACOM SEMICONDUCTOR LLC,5
STRATOGENT CORPORATION,5,5,STRATOGENT CORPORATION,5
"CHINA CONSTRUCTION AMERICA OF SOUTH CAROLINA, INC.",5,5,"CHINA CONSTRUCTION AMERICA OF SOUTH CAROLINA, INC.",5
"MEDUSIND OF MIAMI, INC",5,5,"MEDUSIND OF MIAMI, INC",5
"CHINA EDUCATION INTERNATIONAL, INC.",5,5,"CHINA EDUCATION INTERNATIONAL, INC.",5
"JOHN WILEY & SONS, INC.",5,5,"JOHN WILEY & SONS, INC.",5
GIVAUDAN FLAVORS CORPORATION,7,7,GIVAUDAN FLAVORS CORPORATION,5
"MEDSCAN LABORATORY, INC",5,5,"MEDSCAN LABORATORY, INC",5
GLAXOSMITHKLINE CONSUMER HEALTHCARE HOLDINGS (US) LLC,7,7,GLAXOSMITHKLINE CONSUMER HEALTHCARE HOLDINGS (US) LLC,5
"MEDISOLV, INC",6,6,"MEDISOLV, INC",5
GLAXOSMITHKLINE CONSUMER HEALTHCARE L.P.,6,6,GLAXOSMITHKLINE CONSUMER HEALTHCARE L.P.,5
"SCUBE TMG, LLC",5,5,"SCUBE TMG, LLC",5
"ALPHA AND OMEGA SEMICONDUCTOR, INC.",6,8,"ALPHA AND OMEGA SEMICONDUCTOR, INC.",5
"LOMITA HEALTH MANAGEMENT, INC.",5,5,"LOMITA HEALTH MANAGEMENT, INC.",5
CHINESE INFORMATION AND SERVICE CENTER,9,9,CHINESE INFORMATION AND SERVICE CENTER,5
HUSSMANN CORPORATION,5,6,HUSSMANN CORPORATION,5
"GLOBAL EAGLE ENTERTAINMENT, INC.",6,6,"GLOBAL EAGLE ENTERTAINMENT, INC.",5
SCHNEIDER ELECTRIC IT AMERICA CORP.,5,5,SCHNEIDER ELECTRIC IT AMERICA CORP.,5
CHINESEINVESTORS.COM INC.,5,5,CHINESEINVESTORS.COM INC.,5
"INTEGRIS HEALTH, INC.",6,6,"INTEGRIS HEALTH, INC.",5
AURITAS LLC,8,12,AURITAS LLC,5
SATYA MARG SOLUTIONS INC,5,5,SATYA MARG SOLUTIONS INC,5
"GLOBAL HEALTHCARE EXCHANGE, INC.",6,6,"GLOBAL HEALTHCARE EXCHANGE, INC.",5
QUEENSBOROUGH COMMUNITY COLLEGE,5,5,QUEENSBOROUGH COMMUNITY COLLEGE,5
GLOBAL HEALTHCARE SERVICES INC.,5,8,GLOBAL HEALTHCARE SERVICES INC.,5
MAVERIC TESTING SOLUTIONS LIMITED,5,5,MAVERIC TESTING SOLUTIONS LIMITED,5
AUROLIFE PHARMA LLC,5,5,AUROLIFE PHARMA LLC,5
"SANNOVA ANALYTICAL, INC.",5,15,"SANNOVA ANALYTICAL, INC.",5
